종목코드,종목명,추정수량,현재가,평가금액,비중(%),등락률(%),지분율(%),업종,기준일
005930,삼성전자,433122180,260500.0,112828327890000,27.7763,0.5791505791505891,7.26,전자부품·통신장비,2026-07-22
000660,SK하이닉스,53477083,1830000.0,97863061890000,24.0921,-0.32679738562091387,7.55,전자부품·통신장비,2026-07-22
402340,SK스퀘어,11662940,1230000.0,14345416200000,3.5316,-1.8355945730247458,7.23,금융,2026-07-22
009150,삼성전기,7375584,1345000.0,9920160480000,2.4422,2.6717557251908497,10.16,전자부품·통신장비,2026-07-22
005380,현대차,14967846,418000.0,6256559628000,1.5403,4.761904761904767,7.55,자동차,2026-07-22
105560,KB금융,33101147,175100.0,5796010839700,1.4269,0.6321839080459801,8.4,금융,2026-07-22
028260,삼성물산,13917421,354000.0,4926767034000,1.2129,3.056768558951961,7.28,도매,2026-07-22
373220,LG에너지솔루션,14342959,321000.0,4604089839000,1.1334,1.2618296529968376,6.35,전기장비,2026-07-22
207940,삼성바이오로직스,3345135,1372000.0,4589525220000,1.1299,-1.6487455197132572,6.92,의약품,2026-07-22
055550,신한지주,43318455,104500.0,4526778547500,1.1144,-0.19102196752626144,8.56,금융,2026-07-22
012330,현대모비스,8625989,513000.0,4425132357000,1.0894,6.9864442127215876,9.06,자동차,2026-07-22
032830,삼성생명,13736089,320000.0,4395548480000,1.0821,1.2658227848101333,7.07,보험·연금,2026-07-22
000270,기아,26419934,146800.0,3878446311200,0.9548,1.5214384508990264,7.14,자동차,2026-07-22
012450,한화에어로스페이스,4081625,891000.0,3636727875000,0.8953,-0.8898776418242438,7.44,기타 운송장비,2026-07-22
086790,하나금융지주,27153120,131600.0,3573350592000,0.8797,-0.7541478129713397,9.25,금융,2026-07-22
034730,SK,5622278,624000.0,3508301472000,0.8637,4.697986577181212,7.63,금융,2026-07-22
034020,두산에너빌리티,50356245,69200.0,3484652154000,0.8579,3.592814371257491,7.34,기계·장비,2026-07-22
329180,HD현대중공업,6554502,464500.0,3044566179000,0.7495,2.879291251384264,6.6,기타 운송장비,2026-07-22
068270,셀트리온,16047124,170100.0,2729615792400,0.672,-0.8741258741258751,6.79,의약품,2026-07-22
006400,삼성SDI,6420490,419000.0,2690185310000,0.6623,0.6002400960384069,7.41,전기장비,2026-07-22
035420,NAVER,12890916,196900.0,2538221360400,0.6249,2.02072538860103,8.94,정보서비스,2026-07-22
298040,효성중공업,944514,2679000.0,2530353006000,0.6229,3.9177657098526053,12.29,전기장비,2026-07-22
267260,HD현대일렉트릭,2763351,795000.0,2196864045000,0.5408,2.185089974293053,7.67,전기장비,2026-07-22
000810,삼성화재,3289819,630000.0,2072585970000,0.5102,1.9417475728155331,6.94,보험·연금,2026-07-22
005490,POSCO홀딩스,6576661,303000.0,1992728283000,0.4906,0.0,7.46,1차금속,2026-07-22
066570,LG전자,10608602,182700.0,1938191585400,0.4771,5.484988452655881,7.59,전자부품·통신장비,2026-07-22
000150,두산,1565564,1215000.0,1902160260000,0.4683,8.192341941228843,8.58,전자부품·통신장비,2026-07-22
042660,한화오션,20413224,83900.0,1712669493600,0.4216,2.4420024420024333,5.9,기타 운송장비,2026-07-22
009540,HD한국조선해양,4641667,353500.0,1640829284500,0.4039,4.585798816568043,6.55,금융,2026-07-22
